Profit;popularity;Day_of_week;runtime;vote_average;vote_count
17692920;52.464877;6;94;7;2606
105346506;57.518472;6;130;7,3;2607
256372926;65.948959;5;145;7,1;2608
568806957;67.391328;4;143;6,7;2629
377696359;75.290998;4;110;6,7;2631
352200000;143.350376;5;101;5,8;2636
146572938;90.33681;4;120;6;2651
81980662;43.742241;5;97;6,4;2652
12491080;63.513324;6;93;7,4;2655
782244782;65.229868;3;88;6,2;2672
68346473;41.503588;6;128;7,8;2686
118733820;66.003433;6;124;7,2;2691
189268508;37.195046;4;127;6,6;2692
115332697;59.19888;4;93;7,1;2699
642820459;45.313197;4;149;6,5;2704
219460116;55.458584;6;129;8,1;2705
250157400;36.471231;5;96;6,2;2713
399211549;54.053576;2;118;7,6;2752
331141306;49.353524;5;91;6,1;2757
29401758;66.11334;6;117;8,1;2757
322409852;66.803149;5;163;6,9;2759
7987720;85.36908;4;124;5,2;2768
305000000;66.976776;4;118;7,1;2781
211171807;49.664128;5;138;6,8;2807
13664962;41.430245;4;111;6,6;2808
55258983;64.798873;5;163;7;2811
215933435;43.734886;6;126;7,9;2811
213500217;53.213931;6;108;7,2;2825
362910544;59.258969;2;120;7,6;2827
230062763;73.79505;6;125;6,3;2841
19154322;130.311355;3;130;6,2;2846
47558912;64.238688;5;126;6,7;2854
464480841;48.780039;6;108;6,3;2862
50198285;59.454473;7;117;6,3;2886
372824138;45.381501;6;115;7,3;2888
791550600;94.199316;5;106;6,7;2892
212573423;53.732892;4;103;6,1;2896
204527583;45.769562;6;118;7,1;2900
53222734;45.610993;6;95;7,1;2904
73557872;53.595686;6;103;7,7;2912
105981275;127.525581;3;133;7,3;2919
194470394;77.580661;3;103;6;2926
31189568;49.230089;6;117;7,8;2926
40884703;70.105981;5;170;8;2948
580940780;85.115058;5;91;6,5;2951
137330738;79.922059;4;132;7,1;2954
474029371;56.758411;3;92;6,2;2961
386090727;107.928811;5;106;6,1;2965
368207520;44.635452;3;120;6,5;2965
360490832;100.412364;4;114;6;2968
20400000;43.444135;5;102;7,7;2968
232994119;100.348805;4;110;6,8;2972
28482868;73.872343;6;172;6,6;2977
91025640;59.428223;4;120;6,2;2981
769838758;47.320801;4;93;6,7;2988
158340595;56.868399;5;130;6,3;2998
58200000;86.201184;4;149;7,9;2998
146600000;53.645267;5;122;7,7;3003
253542341;59.248437;3;135;7,7;3009
404572835;109.684788;6;101;6,4;3012
3875127;73.567232;6;119;5,9;3016
13712074;62.898336;5;114;6,1;3021
241876278;59.325589;3;110;5,4;3025
250256926;113.161483;4;132;6,4;3040
64258226;90.809408;7;118;7,6;3041
41255142;43.644978;3;148;7,8;3045
