Winner;Film
1;Roger K. Furse
1;Dorothy Jeakins, Karinska
1;John Huston
1;Orville O. Dull, Producer
1;United States Army
1;Paul Weatherwax
1;Brian Easdale
1;Johnny Green, Roger Edens
1;Music and Lyrics by Jay Livingston and Ray Evans
1;J. Arthur Rank-Two Cities Films
1;Fred Quimby, Producer
1;Edmund H. Reek, Producer
1;Walt Disney, Producer
1;20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director
1;"Special Visual Effects by Paul Eagler, J. McMillan Johnson, Russell Shearman, Clarence Slifer; Special Audible Effects by Charles Freeman, James G. Stewart"
1;Richard Schweizer, David Wechsler
1;John Huston
1;The Search
1;Joan of Arc
1;All the King's Men
1;Twelve O'Clock High
1;The Heiress
1;All the King's Men
1;"Art Direction: Harry Horner, John Meehan; Set Decoration: Emile Kuri"
1;"Art Direction: Cedric Gibbons, Paul Groesse; Set Decoration: Edwin B. Willis, Jack D. Moore"
1;Paul C. Vogel
1;Winton Hoch
1;Edith Head, Gile Steele
1;Leah Rhodes, Travilla, Marjorie Best
1;Joseph L. Mankiewicz
1;Crown Film Unit
1;Richard de Rochemont, Producer
1;Edward Selzer, Producer
1;Harry Gerstad
1;Aaron Copland
1;Roger Edens, Lennie Hayton
1;Music and Lyrics by Frank Loesser
1;Robert Rossen Productions
1;Edward Selzer, Producer
1;Jack Eaton, Producer
1;Gaston Diehl and Robert Haessens, Producers
1;20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director
1;ARKO Productions
1;Douglas Morrow
1;Joseph L. Mankiewicz
1;Robert Pirosh
1;Cyrano de Bergerac
1;All about Eve
1;Born Yesterday
1;Harvey
1;"Art Direction: Hans Dreier, John Meehan; Set Decoration: Sam Comer, Ray Moyer"
1;"Art Direction: Hans Dreier, Walter Tyler; Set Decoration: Sam Comer, Ray Moyer"
1;Robert Krasker
1;Robert Surtees
1;Edith Head, Charles LeMaire
1;Edith Head, Dorothy Jeakins, Elois Jenssen, Gile Steele, Gwen Wakeling
1;Joseph L. Mankiewicz
1;Robert Snyder, Producer
1;Edmund Reek, Producer
1;Ralph E. Winters, Conrad A. Nervig
1;Franz Waxman
1;Adolph Deutsch, Roger Edens
1;Music and Lyrics by Ray Evans and Jay Livingston
1;20th Century-Fox
1;Stephen Bosustow, Producer
1;Gordon Hollingshead, Producer
1;Walt Disney, Producer
1;20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director
1;George Pal Productions
1;Edna Anhalt, Edward Anhalt
1;Joseph L. Mankiewicz
1;Charles Brackett, Billy Wilder, D. M. Marshman, Jr.
1;The African Queen
1;A Streetcar Named Desire
1;A Streetcar Named Desire
1;A Streetcar Named Desire
1;"Art Direction: Richard Day; Set Decoration: George James Hopkins"
1;"Art Direction: Cedric Gibbons, Preston Ames; Set Decoration: Edwin B. Willis, Keogh Gleason"
1;William C. Mellor
1;"Alfred Gilks; Ballet Photography by John Alton"
1;Edith Head
1;Orry-Kelly, Walter Plunkett, Irene Sharaff
1;George Stevens
1;Olle Nordemar, Producer
1;'Made by Fred Zinnemann with the cooperation of Paramount Pictures Corporation for the Los Angeles Orthopaedic Hospital'
1;William Hornbeck
1;Franz Waxman
1;Johnny Green, Saul Chaplin
1;"Music by Hoagy Carmichael; Lyrics by Johnny Mercer"
1;Arthur Freed, Producer
1;Fred Quimby, Producer
1;Robert Youngson, Producer
1;Walt Disney, Producer
1;Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director
1;Paramount
1;Paul Dehn, James Bernard
1;Michael Wilson, Harry Brown
1;Alan Jay Lerner
1;High Noon
1;Viva Zapata!
1;Come Back, Little Sheba
1;The Bad and the Beautiful
1;"Art Direction: Cedric Gibbons, Edward Carfagno; Set Decoration: Edwin B. Willis, Keogh Gleason"
1;"Art Direction: Paul Sheriff; Set Decoration: Marcel Vertes"
1;Robert Surtees
1;Winton C. Hoch, Archie Stout
1;Helen Rose
1;Marcel Vertes
1;John Ford
1;Irwin Allen, Producer
1;Norman McLaren, Producer
1;Elmo Williams, Harry Gerstad
1;Dimitri Tiomkin
1;Alfred Newman
1;"Music by Dimitri Tiomkin; Lyrics by Ned Washington"
1;Cecil B. DeMille, Producer
1;Fred Quimby, Producer
1;Boris Vermont, Producer
1;Walt Disney, Producer
1;London Film Sound Department
1;Metro-Goldwyn-Mayer
1;Fredric M. Frank, Theodore St. John, Frank Cavett
1;Charles Schnee
1;T. E. B. Clarke
1;Stalag 17
1;From Here to Eternity
1;Roman Holiday
1;From Here to Eternity
1;"Art Direction: Cedric Gibbons, Edward Carfagno; Set Decoration: Edwin B. Willis, Hugh Hunt"
1;"Art Direction: Lyle Wheeler, George W. Davis; Set Decoration: Walter M. Scott, Paul S. Fox"
1;Burnett Guffey
1;Loyal Griggs
1;Edith Head
1;Charles LeMaire, Emile Santiago
1;Fred Zinnemann
1;Walt Disney, Producer
1;Walt Disney, Producer
1;William Lyon
1;Bronislau Kaper
1;Alfred Newman
1;"Music by Sammy Fain; Lyrics by Paul Francis Webster"
1;Buddy Adler, Producer
1;Walt Disney, Producer
1;Johnny Green, Producer
1;Walt Disney, Producer
1;Columbia Studio Sound Department, John P. Livadary, Sound Director
1;Paramount Studio
1;Dalton Trumbo
1;Daniel Taradash
1;Charles Brackett, Walter Reisch, Richard Breen
1;On the Waterfront
1;The Barefoot Contessa
1;The Country Girl
1;On the Waterfront
1;Richard Day
1;"Art Direction: John Meehan; Set Decoration: Emile Kuri"
1;Boris Kaufman
1;Milton Krasner
1;Edith Head
1;Sanzo Wada
1;Elia Kazan
1;Walt Disney, Producer
1;World Wide Pictures and Morse Films
1;Gene Milford
1;Dimitri Tiomkin
1;Adolph Deutsch, Saul Chaplin
1;"Music by Jule Styne; Lyrics by Sammy Cahn"
1;Sam Spiegel, Producer
1;Stephen Bosustow, Producer
1;Robert Youngson, Producer
1;Denis Sanders and Terry Sanders, Producers
1;Universal-International Studio Sound Department, Leslie I. Carey, Sound Director
1;Walt Disney Studios
1;Philip Yordan
1;George Seaton
1;Budd Schulberg
1;The Little Kidnappers
1;The Little Kidnappers
1;Marty
1;Mister Roberts
1;The Rose Tattoo
1;East of Eden
1;"Art Direction: Hal Pereira, Tambi Larsen; Set Decoration: Sam Comer, Arthur Krams"
1;"Art Direction: William Flannery, Jo Mielziner; Set Decoration: Robert Priestley"
1;James Wong Howe
1;Robert Burks
1;Helen Rose
1;Charles LeMaire
1;Delbert Mann
1;Nancy Hamilton, Producer
1;Walt Disney, Producer
1;Charles Nelson, William A. Lyon
1;Alfred Newman
1;Robert Russell Bennett, Jay Blackton, Adolph Deutsch
1;"Music by Sammy Fain; Lyrics by Paul Francis Webster"
1;Harold Hecht, Producer
1;Edward Selzer, Producer
1;Edmund Reek, Producer
1;Wilbur T. Blume, Producer
1;Todd-AO Sound Department, Fred Hynes, Sound Director
1;Paramount Studio
1;Daniel Fuchs
1;Paddy Chayefsky
1;William Ludwig, Sonya Levien
1;The King and I
1;Lust for Life
1;Anastasia
1;Written on the Wind
1;"Art Direction: Cedric Gibbons, Malcolm F. Brown; Set Decoration: Edwin B. Willis, F. Keogh Gleason"
1;"Art Direction: Lyle R. Wheeler, John DeCuir; Set Decoration: Walter M. Scott, Paul S. Fox"
1;Joseph Ruttenberg
1;Lionel Lindon
1;Jean Louis
1;Irene Sharaff
1;George Stevens
1;Jacques-Yves Cousteau, Producer
1;Louis Clyde Stoumen, Producer
1;Gene Ruggiero, Paul Weatherwax
1;"Italy; Dino De Laurentiis and Carlo Ponti, Producers"
1;Victor Young
1;Alfred Newman, Ken Darby
1;Music and Lyrics by Jay Livingston and Ray Evans
1;Michael Todd, Producer
1;Stephen Bosustow, Producer
1;Konstantin Kalser, Producer
1;Romulus Films
1;20th Century-Fox Studio Sound Department, Carl Faulkner, Sound Director
1;John Fulton
1;Dalton Trumbo
1;James Poe, John Farrow, S.J. Perelman
1;Albert Lamorisse
1;The Bridge on the River Kwai
1;Sayonara
1;The Three Faces of Eve
1;Sayonara
1;"Art Direction: Ted Haworth; Set Decoration: Robert Priestley"
1;Jack Hildyard
1;Orry-Kelly
1;David Lean
1;Jerome Hill, Producer
1;Peter Taylor
1;Italy
1;Malcolm Arnold
1;"Music by James Van Heusen; Lyrics by Sammy Cahn"
1;Sam Spiegel, Producer
1;Edward Selzer, Producer
1;Larry Lansburgh, Producer
1;Warner Brothers Studio Sound Department, George Groves, Sound Director
1;Audible Effects by Walter Rossi
1;Michael Wilson, Carl Foreman, Pierre Boulle
1;George Wells
1;Separate Tables
1;The Big Country
1;I Want to Live!
1;Separate Tables
1;"Art Direction: William A. Horning, Preston Ames; Set Decoration: Henry Grace, Keogh Gleason"
1;Sam Leavitt
1;Joseph Ruttenberg
1;Cecil Beaton
1;Vincente Minnelli
1;Ben Sharpsteen, Producer
1;Ben Sharpsteen, Producer
1;Adrienne Fazan
1;France
1;Dimitri Tiomkin
