budget;popularity;Years_old;revenue;runtime;title;vote_average;vote_count
17000000;9.583578;16;1569918;98;Veronica Guerin;6.8;59
12000000;5.158067;9;11212294;131;Space Battleship Yamato;6.3;59
3800000;3.667372;20;28200000;97;East Is East;6.5;59
2700000;11.35972;40;37799643;118;The Black Stallion;7;59
1000000;5.323184;13;1678874;92;Who Killed the Electric Car?;7.2;59
609000;3.898498;84;3202000;101;Top Hat;7.4;59
65000;2.380332;9;416498;99;Tiny Furniture;5.6;59
25000000;5.073536;13;11772461;116;The Hoax;6.4;60
18000000;6.333869;11;382174;98;The Informers;4.4;60
13000000;3.680896;13;1151330;110;Infamous;6.4;60
14000000;9.371811;17;6413915;86;Slackers;5.4;60
5000000;6.174435;11;4040588;110;Bottle Shock;6.6;60
385907;3.232447;103;8394751;197;Intolerance;7.4;60
24000000;6.009644;13;23321954;145;Alatriste;5.6;61
14000000;3.334804;14;32645546;106;Because of Winn-Dixie;6.1;61
1600000;8.535178;70;5400000;103;She Wore a Yellow Ribbon;7.1;61
55000000;4.700024;22;11466088;100;Turbulence;5.2;62
20000000;5.727602;8;17479;113;5 Days of War;5.8;62
8000000;4.482714;20;22593409;91;Drive Me Crazy;5.8;62
1250000;4.45544;35;3412497;88;C.H.U.D.;5.3;62
64000000;4.137237;20;74608570;133;Random Hearts;5.3;63
20000000;7.902536;50;31678778;158;Paint Your Wagon;6.2;63
34000000;3.960098;18;19693891;108;Summer Catch;4.8;63
8250000;7.973109;68;30000000;171;Quo Vadis;7;63
8000000;7.433574;14;852872;112;Down in the Valley;5.9;63
20000;0.212443;22;99000;111;Cure;7.4;63
7000000;3.721858;15;29385320;192;Veer-Zaara;7.4;64
100000;4.563698;13;10178331;111;Facing the Giants;6.6;64
21000000;5.815881;11;17600000;120;Swing Vote;5.8;65
12000000;7.558959;27;37170057;91;Raising Cain;5.9;65
4638783;4.495256;46;11000000;106;Pat Garrett & Billy the Kid;7.2;65
30000000;4.52363;21;29202884;108;Bulworth;6.3;66
30000000;2.850896;15;21800302;104;Mr. 3000;5;66
23000000;8.976738;20;18653615;114;Anywhere But Here;5.9;66
9000000;6.717994;23;41590886;118;Set It Off;6.9;66
7000000;5.500324;23;14702438;92;Flirting with Disaster;6.3;66
4000000;5.013575;11;530048;103;Winter in Wartime;6.8;66
4000000;3.771652;13;13401952;109;The History Boys;6.6;66
2500000;6.82919;56;10000000;112;Hud;7.5;66
930000;5.974156;8;30905;100;L!fe Happens;5.3;66
600000;3.409764;49;34505110;225;Woodstock;7.1;66
32000000;4.602185;38;40382659;195;Reds;7.1;67
8000000;9.548391;35;27187653;163;A Passage to India;6.9;67
24000000;5.771479;19;36609995;115;Return to Me;6.1;67
18000000;3.258422;38;14110013;108;Dragonslayer;6.5;67
15000000;3.826685;39;67182787;125;Coal Miner's Daughter;7.2;67
13000000;4.742537;20;27500000;94;Dick;5.7;67
10000000;5.699058;18;44460850;83;Recess: School's Out;6.6;67
5000000;8.452666;36;12232628;107;Lone Wolf McQuade;5.5;67
58000000;8.59075;35;25928721;127;The Cotton Club;6.6;68
30000000;4.352422;16;15368897;96;Alex & Emma;5;68
14000000;5.833687;19;5108820;90;Gossip;5.5;68
28000000;4.436792;20;8888143;119;Mystery, Alaska;6;69
10000000;4.928777;34;25754284;108;The Last Dragon;6.4;69
4000000;4.59841;13;4630045;84;Let's Go to Prison;5.5;69
8500000;4.844451;17;34411240;84;Swimfan;5;70
3500000;8.406025;23;9482579;96;She's the One;5.7;70
49000000;2.808428;29;20423389;104;The Adventures of Ford Fairlane;6.2;71
44000000;3.770161;24;13681765;192;Nixon;7.1;71
40000000;3.87823;11;9793496;130;The Express;7.1;71
18000000;4.504377;49;24911670;121;Catch-22;6.7;72
15000000;5.164281;21;46905889;111;The Object of My Affection;5.6;72
20000000;6.459787;6;27187375;85;Khumba;5.8;72
10000000;4.207456;12;20342161;84;Reno 911!: Miami;5.6;72
5800000;4.49029;55;6800000;133;The Train;7.2;72
4000000;2.930058;58;8200000;124;The Misfits;6.8;72
1250000;7.70019;78;6000000;118;How Green Was My Valley;6.8;72
5000000;6.96858;3;23507567;121;God's Not Dead 2;5.7;72
10000000;3.091077;22;13835130;110;The Spanish Prisoner;7.1;73
25000000;8.842722;6;6399;99;The Adventurer: The Curse of the Midas Box;5.1;73
23000000;6.618149;15;16123851;141;Vanity Fair;5.5;73
16800000;4.358255;13;2281089;122;Fur: An Imaginary Portrait of Diane Arbus;5.8;73
14000000;4.66723;18;10424470;86;Head Over Heels;5.3;73
7000000;8.207425;9;46488;108;Ca$h;6;73
5000000;7.79068;16;2466444;104;Wonderland;6.2;73
900000;4.0971;14;381420;96;The Quiet;6.1;73
47000000;6.067212;23;12379402;104;Mary Reilly;5.7;74
18000000;6.501815;15;65070412;106;Barbershop 2:  Back in Business;5.6;74
11000000;7.063053;18;23430766;95;Tomcats;4.9;74
6000000;4.053017;16;18750246;91;A Mighty Wind;6.6;74
50000000;6.22577;20;58900031;95;The Story of Us;5.9;75
38000000;6.760922;12;5410749;93;Virgin Territory;4.3;75
12000000;4.580081;20;36450736;97;Baby Geniuses;3.3;75
10284523;4.820166;14;11588205;104;Shopgirl;5.7;75
250000;6.978907;6;56825;99;The Canyons;4.1;75
50000000;6.397388;15;6808550;88;The Big Bounce;5;76
21000000;4.781538;20;17762705;104;The Rage: Carrie 2;5.1;76
18000000;4.492859;15;16702864;92;Catch That Kid;4.9;76
22000000;4.365196;19;13555988;95;The Little Vampire;6.1;77
18000000;9.244181;13;1831348;105;Renaissance;6.7;77
6000000;5.882208;13;57231524;110;Madea's Family Reunion;6;77
5000000;5.960149;23;13269963;135;Lone Star;6.9;77
8000000;3.03091;16;3432342;99;The Barbarian Invasions;6.7;77
4000000;5.975604;50;6000000;143;Topaz;6.1;77
1000000;5.961119;8;34522221;129;Courageous;6.8;77
75000000;8.098369;18;5409517;93;Monkeybone;4.3;78
20000000;9.36146;12;10337477;84;Code Name: The Cleaner;4.7;78
14200000;7.05145;14;674918;139;Manderlay;6.9;78
12000000;4.770195;13;6754898;116;Running with Scissors;5.8;78
9000000;9.933926;8;18663238;84;Glee: The Concert Movie;6.8;79
7700000;3.353176;6;46000000;159;Yeh Jawaani Hai Deewani;7.2;79
1644736;3.426314;81;7433101;126;You Can't Take It With You;7.2;79
1250000;9.903992;66;8500000;92;Niagara;6.7;79
65000000;6.80692;20;36850101;94;My Favorite Martian;5.1;80
40000000;5.201688;17;8493890;85;Big Trouble;6.3;80
38000000;3.426555;23;17380126;118;Extreme Measures;5.7;80
15000000;7.809701;9;20529194;117;Country Strong;5.9;80
4000000;6.091951;12;2426851;90;You Kill Me;6.2;80
50000000;3.314004;22;10541523;114;Mad City;5.9;81
45000000;5.361699;12;4607608;139;Love in the Time of Cholera;6.4;81
40000000;4.516953;25;24332324;128;Renaissance Man;5.9;81
30000000;5.133744;17;27674124;101;The Quiet American;6.4;81
8000000;4.932893;13;18948425;112;Akeelah and the Bee;6.7;81
10000000;5.588652;21;6451628;105;Gods and Monsters;6.8;81
25000000;4.002579;11;11207130;113;Stop-Loss;6.1;82
23000000;12.869436;28;7434726;98;Harley Davidson and the Marlboro Man;6.1;82
3500000;7.821438;52;13007551;134;In Cold Blood;7.4;82
3000000;5.344815;71;9012000;133;Red River;7.3;82
22000000;9.175762;5;67800064;138;Son of God;5.9;83
20000000;5.596835;16;17432163;101;A Guy Thing;5.3;83
18000000;7.871686;6;7972967;93;Metallica: Through the Never;6.7;83
10000000;5.145655;4;17472;111;Strangerland;5.1;83
25530000;4.475007;23;20080020;95;Flipper;5.3;84
15000000;7.497306;10;5024782;90;Solitary Man;5.8;84
12000000;5.841285;10;1644755;111;Ondine;6.5;84
3400000;5.690619;42;31063038;94;High Anxiety;6.5;84
29000000;8.93941;17;16930185;100;Serving Sara;5;85
15000000;6.373316;17;9237470;118;Dark Blue;6.5;85
8000000;6.932221;24;529766;116;Things to Do in Denver When You're Dead;6.7;85
12000000;8.410688;7;32726956;93;Katy Perry: Part of Me;6.5;85
8500000;11.436405;6;22456509;96;Baggage Claim;5.6;85
38000000;10.047579;23;10300000;129;White Squall;6.3;86
32000000;5.347936;13;5914908;108;The Good German;5.9;86
14000000;4.898424;8;46495;149;Margaret;6.1;86
10000000;6.736274;20;10571408;98;Drop Dead Gorgeous;6.4;86
5000000;6.265659;11;1296184;106;War, Inc.;5.6;86
5000000;7.058868;38;19905359;99;Nighthawks;6.4;86
2000000;3.832858;43;7900000;121;Family Plot;6.7;86
2000000;5.261065;34;390659;104;Subway;6.3;86
76000000;8.981427;19;35134820;88;The Adventures of Rocky & Bullwinkle;3.9;87
6000000;6.349218;5;32251;86;Song One;5.5;87
700000;9.188431;25;7830611;171;Hoop Dreams;7.7;87
53000000;6.454634;18;29700000;102;Angel Eyes;5.6;88
20000000;8.237336;6;16549477;110;Battle of the Year;5.9;88
20000000;2.027393;19;27728118;124;Love & Basketball;7.4;88
13000000;6.92205;12;75511123;114;Stomp the Yard;6.1;88
2000000;7.502934;26;54207;97;Return of the Living Dead 3;5.9;88
31000000;6.487344;9;15134293;105;Extraordinary Measures;6;89
26000000;5.894163;17;38793283;94;Clockstoppers;4.9;89
4500000;5.224593;63;10400000;116;Moby Dick;6.9;89
3900000;9.541688;53;28350000;120;A Man for All Seasons;7.5;89
45000000;11.387408;11;9323833;160;Miracle at St. Anna;6.3;90
18000000;6.961736;19;17200925;115;Center Stage;6.8;90
16000000;8.842869;12;2849142;113;Things We Lost in the Fire;6.7;90
3000000;4.337685;20;3076820;87;Jawbreaker;5.9;90
160000;3.284903;30;6706368;91;Roger & Me;7.4;90
