Profit;popularity;Day_of_week;runtime;title;vote_average;vote_count
-7700000;3.363973;7;110;Far from Men;7,1;43
-787706;3.618646;6;111;The Ballad of Jack and Rose;6,8;43
9037390;3.322721;7;107;Godzilla 2000;4,6;43
-40148390;8.189406;6;95;Jade;5,2;44
-11027492;4.100942;6;89;Shorts;5,1;44
852450;3.561198;6;101;200 Cigarettes;5,5;44
-3974762;4.148253;6;95;Novocaine;7,6;44
-5000000;6.308298;6;91;Slums of Beverly Hills;7,6;44
-46000000;4.842626;6;90;The Out-of-Towners;5;45
-14280643;3.888776;2;99;Abandon;4,6;45
-9696123;4.267466;6;127;In the Land of Blood and Honey;5,8;45
-4951045;5.483531;6;96;A Home at the End of the World;7,1;45
-500000;5.033065;1;120;Miss Julie;6,5;45
-5650000;2.388683;2;97;Albino Alligator;6,5;45
-300000;2.733725;5;97;Some Guy Who Kills People;6,3;45
-19654944;1.767479;6;86;A Simple Wish;5,5;46
4535191;4.519523;5;97;An Ideal Husband;6,3;46
-8000000;3.535789;6;92;Woman on Top;6,9;46
-7000000;5.517597;7;125;Mother and Child;7,1;46
-4500000;8.48639;4;110;Exiled;5,4;46
-531428;4.541908;4;110;Talk Radio;6,2;46
9300000;3.281509;5;149;The Nun's Story;6,3;46
-1000000;3.844926;6;126;The Mirror Has Two Faces;6,5;47
-7806769;2.77255;6;98;Fled;5,2;47
-13000000;2.909346;2;95;Say It Isn't So;4,8;47
13515786;3.650857;6;109;Poetic Justice;6,9;47
500000;3.444542;6;93;Sorority Boys;4,6;47
6153593;3.079862;6;129;Mo' Better Blues;6,3;47
5400000;5.33861;5;76;The Snow Queen;7;47
3700000;2.739307;6;90;The Forsaken;6,6;47
1283054;2.676535;4;121;The Ballad of Cable Hogue;6,2;47
-3400000;6.723057;6;118;To Write Love on Her Arms;7,4;47
5800000;5.381536;3;118;Gentleman's Agreement;4,8;47
-43076064;4.362535;6;214;Gods and Generals;6,1;48
-60000000;8.792054;6;77;Dudley Do-Right;3,8;48
-19100000;6.377308;5;100;People I Know;5,5;48
-14313571;2.848727;6;97;Steel;4,3;48
-4698351;4.628525;7;120;Tidal Wave;6,5;48
11482931;5.102258;6;95;All About the Benjamins;5,8;48
-769724;7.034618;5;94;College;6,6;48
9013424;3.990215;7;97;Kissing Jessica Stein;6,5;48
414404;4.262374;6;106;Snow Angels;5,7;48
-37364904;5.516207;4;138;Ride with the Devil;6,6;49
-15649317;3.75074;4;98;Winged Migration;7;49
-22663828;3.593165;4;114;Me and Orson Welles;6,6;49
-11627590;3.113009;6;107;Ready to Rumble;4,7;49
5250000;3.810697;6;91;The Ice Pirates;6;49
-200000;3.696123;6;90;The Marine 4: Moving Target;7,8;49
-73821041;3.593349;4;110;The Nutcracker: The Untold Story;5,4;50
40700000;4.801849;6;119;Up Close & Personal;5,9;50
-17128721;1.138383;4;338;Carlos;6,7;50
-1200000;3.582733;6;86;Welcome to Collinwood;6,2;50
5795189;2.959547;2;99;The Long Riders;6;50
-9401355;4.570043;6;89;Swept Away;5,6;50
-9750000;2.803642;4;82;Edmond;6,4;50
8138836;3.604863;7;122;The Namesake;6,8;50
13256975;6.872784;6;96;Action Jackson;6,8;50
32000000;8.988455;5;152;The Greatest Show on Earth;7,1;50
-13500000;3.393648;4;106;The Other End of the Line;6,6;50
18400000;3.389249;6;132;Yentl;6,2;51
-7500000;3.919057;6;97;Bucky Larson: Born to Be a Star;6,3;51
-8000000;4.176066;4;87;Cecil B. Demented;6,5;51
-9900000;3.193777;4;89;Gentlemen Broncos;6,9;51
1591545;3.703005;7;97;My Beautiful Laundrette;7,8;51
-54000000;2.952595;6;105;Lucky Numbers;4,9;52
-30517805;4.131546;6;118;Switchback;5,8;52
-10988950;8.982335;2;117;Moonlight Mile;6,5;52
-1746585;11.090254;6;114;Simon Birch;6,5;52
-3394237;9.149089;6;84;Paparazzi;5,8;52
-32600000;8.978408;5;125;The Children of Huang Shi;6,5;52
90508336;3.107371;2;103;Madea Goes to Jail;6,4;52
-14683000;3.803495;4;102;The Yellow Handkerchief;6,4;52
6000000;3.043589;6;95;Flicka;6,1;52
-1601011;5.696491;6;95;Simply Irresistible;6,9;52
-3000000;3.077885;6;90;Amnesiac;6,1;52
-1879380;3.911445;1;90;It's All Gone Pete Tong;5,2;52
-1500000;2.815228;6;90;#Horror;6,8;52
-30348023;3.503408;6;114;Radio Flyer;6,6;53
-15565854;5.566203;7;124;Play It to the Bone;5,7;53
-9217324;4.12064;4;89;Out Cold;5,8;53
-4500000;5.099472;3;90;The Devil's Tomb;6,4;53
37910000;4.289003;6;109;Beyond the Valley of the Dolls;6,2;53
-725339;0.748565;2;106;Taxi to the Dark Side;4;53
773228;7.330691;4;107;Bloody Sunday;5,9;53
-9878900;4.746085;6;106;The Deep End of the Ocean;5,9;54
-16000000;3.314094;3;110;Welcome to Mooseport;4,8;54
12978402;3.495758;6;86;Corky Romano;4,1;54
-8240748;4.123533;6;98;A Better Life;6,4;54
-40515669;5.380124;4;219;Heaven's Gate;6,4;55
-21321087;6.727949;6;94;American Outlaws;5,7;55
-14500000;6.138213;6;118;Beyond the Sea;6,5;55
-12172184;6.921263;6;102;The End of the Affair;6,6;55
13381649;7.854989;4;130;Baby Boy;7,4;55
2196245;4.536745;6;90;I Think I Love My Wife;5;55
-1347502;4.793348;4;132;City of Life and Death;7,6;55
476060;4.149628;6;94;Made;5,9;55
-3019662;2.732031;6;116;Zero Effect;6,6;55
-650000;1.631274;6;93;A LEGO Brickumentary;6;55
-900000;7.145832;4;76;Loving Annabelle;3,5;55
-12946185;3.296933;6;104;The Musketeer;5,2;56
44787599;3.845231;4;132;The Prince of Tides;5,9;56
4488529;5.271559;6;112;Flawless;5,9;56
-13633773;5.494047;3;86;Cheri;5,9;56
31110610;4.492455;6;112;Jumping the Broom;6,8;56
-4937934;7.051521;6;104;Auto Focus;7,4;56
-30061;5.424916;5;107;Latter Days;5,8;56
8650785;6.248273;6;114;Welcome Home Roscoe Jenkins;5,7;57
-17162326;7.876883;6;139;Bodyguards and Assassins;6,5;57
1300000;4.930129;4;117;Reign of Assassins;6,7;57
-7115337;4.234269;4;100;Invaders from Mars;5,5;57
-9843800;4.068107;6;110;The Corruptor;7;57
27500000;2.551559;6;126;Airlift;5,7;57
-3000000;5.325156;6;90;Please Give;5,4;57
34153101;5.987486;6;91;Cirque du Soleil: Worlds Away;6,1;58
-2950947;2.753313;3;134;The Wiz;5,9;58
5300000;3.352702;6;90;The Goods: Live Hard, Sell Hard;5,6;58
-4257102;4.129165;6;98;Party Monster;3,9;58
-12;4.88794;7;145;Angela's Ashes;7;59
-15430082;9.583578;6;98;Veronica Guerin;6,8;59
-787706;5.158067;4;131;Space Battleship Yamato;6,3;59
-3200000;2.631688;7;90;The Good Guy;4,7;59
24400000;3.667372;6;97;East Is East;6;59
-700000;3.120747;5;98;Summer Storm;5,8;59
35099643;11.35972;4;118;The Black Stallion;6;59
-14400000;6.463806;4;99;River's Edge;6,6;59
678874;5.323184;6;92;Who Killed the Electric Car?;6,7;59
2593000;3.898498;6;101;Top Hat;6,4;59
351498;2.380332;6;99;Tiny Furniture;8,3;59
-39000000;7.524671;2;117;All the Pretty Horses;5,8;60
-32600000;5.419181;5;121;Smilla's Sense of Snow;6,6;60
-13227539;5.073536;7;116;The Hoax;6,4;60
-17617826;6.333869;4;98;The Informers;4,4;60
-11848670;3.680896;5;110;Infamous;6,4;60
-7586085;9.371811;6;86;Slackers;5,4;60
-9000000;7.029126;6;126;The Contender;6,5;60
-959412;6.174435;4;110;Bottle Shock;5,4;60
-4600000;3.531877;6;97;Savage Grace;5,8;60
8008844;3.232447;2;197;Intolerance;7,3;60
-678046;6.009644;6;145;Alatriste;5,6;61
3840000;5.609755;7;131;Shadowlands;6,8;61
18645546;3.334804;6;106;Because of Winn-Dixie;6,1;61
-9000000;6.677926;6;96;Skin Trade;6,8;61
3800000;8.535178;7;103;She Wore a Yellow Ribbon;4,3;61
-43533912;4.700024;5;100;Turbulence;5,2;62
-9400000;7.553773;6;98;Three to Tango;5,4;62
-19982521;5.727602;5;113;5 Days of War;5,8;62
14593409;4.482714;6;91;Drive Me Crazy;6,7;62
2162497;4.45544;6;88;C.H.U.D.;6,7;62
10608570;4.137237;6;133;Random Hearts;5,3;63
11678778;7.902536;4;158;Paint Your Wagon;6,2;63
-14306109;3.960098;4;108;Summer Catch;4,8;63
21750000;7.973109;5;171;Quo Vadis;6,7;63
-7147128;7.433574;6;112;Down in the Valley;5,8;63
-2;4.857028;6;90;Split Second;7,4;63
79000;0.212443;5;111;Cure;6;63
22385320;3.721858;6;192;Veer-Zaara;6,1;64
-300000;4.270596;1;81;Pieces of April;6,4;64
-200000;0.713906;5;80;Wendy and Lucy;7,3;64
10078331;4.563698;6;111;Facing the Giants;5,7;64
321952;3.277287;2;117;The Last Waltz;7,9;64
